text,label
"Dear customer, your SBI KYC has expired, update it immediately at http://sbi-verify-update.in",1
"Your Paytm wallet will be blocked in 24 hours, verify at http://paytm-secure-update.com",1
"Your ATM card has been blocked temporarily. Click http://secure-hdfc-bank-login.com to unblock.",1
"Your account has been credited with Rs 8,50,000 lottery prize, pay Rs 499 fees to claim now.",1
"Congratulations! You have won an iPhone 15. Visit https://claim-free-iphone-giveaway.co",1
"We want to offer you a high salary job in Canada, pay Rs 2500 processing fee to start.",1
"Urgent: your UPI is disabled. Reactivate by sharing OTP with our agent.",1
"Your bank account will get frozen if KYC is not updated in 30 minutes",1
"Send this OTP to verify your identity with the bank",1
"Pay 300 rupees immediately to avoid account closure",1
"Make sure you bring your ID card for internship registration tomorrow.",0
"Meeting at 3 PM today, come early for presentation setup.",0
"Happy Birthday! Have a great year ahead.",0
"I will send you the notes after class.",0
"Let's have lunch at 1 PM today?",0
"Don't forget to pay electricity bill before Sunday.",0
"Call me when you reach home.",0
"Bro, share your laptop charger.",0
"Sending you project file, check once.",0
"Are you joining the trip this weekend?",0
